Comment,Designator,Footprint,LCSC Part #
1uf,C2,C0603,
2K,R6 R7,R0603,
9A/30V/15mÎ©,Q1,8-POWERVDFN-3X3,
10K,R1 R4 R5 R8,R0603,
10nf,C1,C0603,
22-03-5035,J2 J5,SHDR3W60P0X250_1X3_990X490X590,
B3B-EH-A,J3,SHDR3W64P0X250_1X3_1000X380X60,
BZT52C15-7-F,Z1,SOD3716X145N,
FIDUCIAL"",FD4 FD5 FD6,FIDUCIAL_1MM,
GREEN-2P-3.5,J1,H2-3.5-7.0X7.0MM,
QWIIC_RA,J4,JST04_1MM_RA,
RS1-07-G
,J6 J7,1X07,
SN74LVC2G241DCTR,U4,SOP65P400X130-8N,
SPX3819M5_5_0,U3,SOT23-5,
TXB0104PWR,U2,TSSOP14,
XIAO-THRUHOLE,U1,XIAO-GENERIC-THRUHOLE-MODULE14P-2.54-21X17.8MM,
